SET
line_id,line_start_date,line_end_date,radius_username,jbill_so_value,oss_so_value
1767,2008-12-18,,3123882924@uscc.net,SO-52K,SO-52
1961,2009-04-29,,3123883274@uscc.net,SO-138H,SO-00138
1972,2009-04-29,,3123884643@uscc.net,SO-138H,SO-00138
1983,2009-04-29,,3123883788@uscc.net,SO-138H,SO-00138
2125,2009-05-11,,3123886479@uscc.net,SO-152J,SO-00152
2166,2009-06-03,,3123886882@uscc.net,SO-189G,SO-00189
2195,2009-06-03,,3122176305@uscc.net,SO-189G,SO-00189
2197,2009-06-03,,3122176315@uscc.net,SO-189G,SO-00189
2227,2009-06-03,,3123886365@uscc.net,SO-189G,SO-00189
2232,2009-06-03,,3123886564@uscc.net,SO-189G,SO-00189
2301,2009-01-28,,3123882463@uscc.net,SO-62A,
2319,2009-04-21,,3123884228@uscc.net,SO-131B,SO-131
2323,2009-05-20,,3123883942@uscc.net,SO-175A,SO-00175
2379,2009-03-23,,3123884036@uscc.net,SO-104A,
2380,2009-03-23,,3123882955@uscc.net,SO-104A,
2388,2009-05-11,,3123883827@uscc.net,SO-158A,
2389,2009-05-11,,3123883778@uscc.net,SO-158A,
2546,2009-05-04,,3123884061@uscc.net,SO-1251A,SO-1251
2567,2009-06-22,,3123886303@uscc.net,SO-2601A,
2568,2009-06-22,,3123886283@uscc.net,SO-2601A,
2582,2009-06-24,,3125469847@uscc.net,SO-207A,
2584,2009-06-24,,3125469765@uscc.net,SO-207A,
2587,2009-06-24,,3125469851@uscc.net,SO-207A,
2588,2009-06-24,,3122178402@uscc.net,SO-207A,
2590,2009-06-24,,3125469849@uscc.net,SO-207A,
2598,2009-06-28,,5445527536@tsp17.sprintpcs.com,SO-205B,SO-0205
2599,2009-06-28,,3125469789@uscc.net,SO-205B,SO-0205
2600,2009-06-28,,3122178798@uscc.net,SO-205B,SO-0205
2601,2009-06-28,,3125469792@uscc.net,SO-205B,SO-0205
2654,2009-07-05,,3122178633@uscc.net,SO-218B,SO-0218
2656,2009-07-05,,3122178556@uscc.net,SO-218B,SO-0218
2657,2009-07-05,,3122178520@uscc.net,SO-218B,SO-0218
2658,2009-07-05,,3122178876@uscc.net,SO-218B,SO-0218
2659,2009-07-06,,3125469605@uscc.net,SO-8614C,SO-8614
2661,2009-07-06,,5338240985@tsp17.sprintpcs.com,SO-8614C,SO-8614
2662,2009-07-06,,3125469579@uscc.net,SO-8614C,SO-8614
2663,2009-07-06,,3125469569@uscc.net,SO-8614C,SO-8614
2665,2009-07-06,,3125469561@uscc.net,SO-756A,
2666,2009-07-06,,3125469749@uscc.net,SO-1244E,
2667,2009-07-06,,3122178587@uscc.net,SO-873A,
2670,2009-07-06,,3125469806@uscc.net,SO-780B,
2677,2009-07-06,,3129961397@uscc.net,SO-873A,
2678,2009-07-06,,3128540635@uscc.net,SO-1534I,
2683,2009-07-06,,3125467371@uscc.net,SO-1534I,
2685,2009-07-06,,3125469862@uscc.net,SO-1534I,
2686,2009-07-06,,3122178982@uscc.net,SO-1534I,
2687,2009-07-06,,3122178809@uscc.net,SO-1534I,
2689,2009-07-06,,3128542169@uscc.net,SO-1534I,
2691,2009-07-06,,3125469385@uscc.net,SO-1534I,
2692,2009-07-06,,3125469344@uscc.net,SO-1438G,
2697,2009-07-06,,3125469810@uscc.net,SO-780B,
2704,2009-07-06,,3125469793@uscc.net,SO-1157F,
2707,2009-07-08,,3125469769@uscc.net,SO-752B,SO-00223
2708,2009-07-08,,3125469856@uscc.net,SO-872A,SO-00223
2710,2009-07-08,,3125469776@uscc.net,SO-752B,SO-00223
2712,2009-07-08,,3125469784@uscc.net,SO-752B,SO-00223
2714,2009-07-08,,3125469726@uscc.net,SO-752B,SO-00223
2716,2009-07-08,,3125469823@uscc.net,SO-752B,SO-00223
2720,2009-07-09,,3125469734@uscc.net,SO-984H,SO-984
2721,2009-07-09,,3125469509@uscc.net,SO-751D,SO-751
2722,2009-07-09,,3125469850@uscc.net,SO-751D,SO-751
2724,2009-07-09,,3125469805@uscc.net,SO-1156B,SO-1156
2726,2009-07-09,,3125469758@uscc.net,SO-531B,SO-531
2759,2009-07-09,,3123886681@uscc.net,SO-232J,ATM World - 30 of 50 - No PO number yet
2769,2009-07-15,,3128544698@uscc.net,SO-236B,SO-0236
2770,2009-07-15,,3125469411@uscc.net,SO-236B,SO-0236
3274,2009-07-15,,3122178382@uscc.net,SO-234M,SO-00234
3275,2009-07-15,,3125469844@uscc.net,SO-234M,SO-00234
3276,2009-07-15,,3125469404@uscc.net,SO-234M,SO-00234
3278,2009-07-15,,3122178824@uscc.net,SO-234M,SO-00234
3279,2009-07-15,,3122178696@uscc.net,SO-234M,SO-00234
3280,2009-07-15,,3129962270@uscc.net,SO-234M,SO-00234
3285,2009-07-15,,3125469824@uscc.net,SO-234M,SO-00234
3287,2009-07-15,,3125469858@uscc.net,SO-234M,SO-00234
3288,2009-07-15,,3125469822@uscc.net,SO-234M,SO-00234
3291,2009-07-15,,3125469448@uscc.net,SO-234M,SO-00234
3295,2009-07-15,,3125469444@uscc.net,SO-234M,SO-00234
3297,2009-07-15,,3125469510@uscc.net,SO-234M,SO-00234
3304,2009-07-15,,3125469517@uscc.net,SO-234M,SO-00234
3312,2009-07-15,,3128541695@uscc.net,SO-234M,SO-00234
3314,2009-07-15,,3122178570@uscc.net,SO-234M,SO-00234
3321,2009-07-15,,3125469523@uscc.net,SO-234M,SO-00234
3324,2009-07-15,,3125469367@uscc.net,SO-234M,SO-00234
3326,2009-07-15,,3125469464@uscc.net,SO-234M,SO-00234
3329,2009-07-15,,3125469519@uscc.net,SO-234M,SO-00234
3330,2009-07-15,,3128540400@uscc.net,SO-234M,SO-00234
3334,2009-07-15,,3125469843@uscc.net,SO-234M,SO-00234
3336,2009-07-15,,3125469744@uscc.net,SO-234M,SO-00234
3337,2009-07-15,,3122178559@uscc.net,SO-234M,SO-00234
3338,2009-07-15,,3125469833@uscc.net,SO-234M,SO-00234
3348,2009-07-15,,3122178919@uscc.net,SO-234M,SO-00234
3350,2009-07-15,,3125469808@uscc.net,SO-234M,SO-00234
3352,2009-07-15,,3125469354@uscc.net,SO-234M,SO-00234
3355,2009-07-15,,3125469528@uscc.net,SO-234M,SO-00234
3356,2009-07-15,,3125469513@uscc.net,SO-234M,SO-00234
3360,2009-07-15,,3125469352@uscc.net,SO-234M,SO-00234
3364,2009-07-15,,3125469534@uscc.net,SO-234M,SO-00234
3365,2009-07-15,,3125469507@uscc.net,SO-234M,SO-00234
3376,2009-07-16,,3125469297@uscc.net,SO-239A,
3391,2009-07-14,,3126712439@uscc.net,SO-232J,SO-00232 (20 of 50)
3424,2009-07-20,,3125469308@uscc.net,SO-242H,SO-00242
3436,2009-07-20,,3123889606@uscc.net,SO-240A,SO-00240
3437,2009-07-20,,3125469524@uscc.net,SO-240A,SO-00240
3441,2009-07-21,,3125469506@uscc.net,SO-244B,SO-00244
3442,2009-07-21,,3125469284@uscc.net,SO-244B,SO-00244
3443,2009-07-21,,3125469350@uscc.net,SO-244B,SO-00244
3446,2009-07-21,,3125469437@uscc.net,SO-2152,SO-00246
3447,2009-07-21,,3128540874@uscc.net,SO-2597C,SO-00246
3449,2009-07-27,,3125469417@uscc.net,SO-752B,SO-00249
3450,2009-07-27,,3125469370@uscc.net,SO-250B,SO-00250
3452,2009-07-27,,3125469474@uscc.net,SO-250B,SO-00250
3453,2009-07-27,,9172793165@tsp17.sprintpcs.com,SO-250B,SO-00250
3454,2009-07-27,,3124379065@uscc.net,SO-250B,SO-00250
3463,2009-07-27,,3122178740@uscc.net,SO-251F,SO-00251
3464,2009-07-27,,3125469512@uscc.net,SO-251F,SO-00251
3466,2009-07-27,,3125469449@uscc.net,SO-251F,SO-00251
3472,2009-07-30,,3125469325@uscc.net,SO-1451A,SO-1451
3474,2009-07-30,,3125469294@uscc.net,SO-1156B,SO-1156
3475,2009-07-30,,3125469779@uscc.net,SO-984H,SO-00253
3478,2009-07-30,,3125469351@uscc.net,SO-751D,SO-751
3487,2009-07-30,,3125469423@uscc.net,SO-254D,SO-00254
3592,2009-08-02,,3125469323@uscc.net,SO-235M,ATM World : SO-00235 (50 of 100)
3595,2009-08-02,,3125469414@uscc.net,SO-235M,ATM World : SO-00235 (50 of 100)
3598,2009-08-02,,3125469786@uscc.net,SO-235M,ATM World : SO-00235 (50 of 100)
3600,2009-08-02,,3125469763@uscc.net,SO-235M,ATM World : SO-00235 (50 of 100)
3603,2009-08-02,,3125469794@uscc.net,SO-235M,ATM World : SO-00235 (50 of 100)
3608,2009-08-02,,3125469589@uscc.net,SO-235M,ATM World : SO-00235 (50 of 100)
3612,2009-08-02,,3125469731@uscc.net,SO-235M,ATM World : SO-00235 (50 of 100)
3614,2009-08-02,,3125469774@uscc.net,SO-235M,ATM World : SO-00235 (50 of 100)
3616,2009-08-02,,3125469770@uscc.net,SO-235M,ATM World : SO-00235 (50 of 100)
3620,2009-08-02,,3125469281@uscc.net,SO-235M,ATM World : SO-00235 (50 of 100)
3622,2009-08-02,,3125469393@uscc.net,SO-235M,ATM World : SO-00235 (50 of 100)
3626,2009-08-02,,3125469571@uscc.net,SO-235M,ATM World : SO-00235 (50 of 100)
3628,2009-08-02,,3125469316@uscc.net,SO-235M,ATM World : SO-00235 (50 of 100)
3633,2009-08-02,,3125469559@uscc.net,SO-235M,ATM World : SO-00235 (50 of 100)
3645,2009-08-02,,3128540463@uscc.net,SO-235M,ATM World : SO-00235 (51 to 100)
3648,2009-08-02,,3125469811@uscc.net,SO-235M,ATM World : SO-00235 (51 to 100)
3657,2009-08-02,,3125469584@uscc.net,SO-235M,ATM World : SO-00235 (51 to 100)
3660,2009-08-02,,3125469798@uscc.net,SO-235M,ATM World : SO-00235 (51 to 100)
3662,2009-08-02,,3125469751@uscc.net,SO-235M,ATM World : SO-00235 (51 to 100)
3665,2009-08-02,,3125469580@uscc.net,SO-235M,ATM World : SO-00235 (51 to 100)
3671,2009-08-02,,3125469775@uscc.net,SO-235M,ATM World : SO-00235 (51 to 100)
3672,2009-08-02,,3125469311@uscc.net,SO-235M,ATM World : SO-00235 (51 to 100)
3673,2009-08-02,,3125469319@uscc.net,SO-235M,ATM World : SO-00235 (51 to 100)
3675,2009-08-02,,3125469815@uscc.net,SO-235M,ATM World : SO-00235 (51 to 100)
3680,2009-08-02,,3125469298@uscc.net,SO-235M,ATM World : SO-00235 (51 to 100)
3681,2009-08-02,,3125469591@uscc.net,SO-235M,ATM World : SO-00235 (51 to 100)
3686,2009-08-02,,3125469595@uscc.net,SO-235M,ATM World : SO-00235 (51 to 100)
3691,2009-08-02,,3125469508@uscc.net,SO-235M,ATM World : SO-00235 (51 to 100)
3693,2009-08-03,,3125469787@uscc.net,SO-257A,SO-257
3694,2009-08-03,,3125469568@uscc.net,SO-1546,SO-256
3700,2009-08-03,,3125469452@uscc.net,SO-259D,SO-259
3705,2009-08-04,,3125469402@uscc.net,SO-260A,SO-260	
3706,2009-08-04,,3125469458@uscc.net,SO-260A,SO-260	
3707,2009-08-04,,3125469292@uscc.net,SO-260A,SO-260	
3708,2009-08-04,,3125469727@uscc.net,SO-260A,SO-260	
3710,2009-08-04,,3125469324@uscc.net,SO-8614C,SO-8614
3712,2009-08-04,,3125469582@uscc.net,SO-8614C,SO-8614
3713,2009-08-04,,3125469570@uscc.net,SO-8614C,SO-8614
3722,2009-08-10,,3125469799@uscc.net,SO-3336,SO-268
3741,2009-08-10,,3125469575@uscc.net,SO-2597C,SO-273
3742,2009-08-11,,3125469743@uscc.net,SO-270G,SO-270
3744,2009-08-11,,3125469358@uscc.net,SO-270G,SO-270
3745,2009-08-11,,3125469391@uscc.net,SO-270G,SO-270
3754,2009-08-11,,3125469723@uscc.net,SO-270G,SO-270
3758,2009-08-11,,3125469314@uscc.net,SO-270G,SO-270
3760,2009-08-11,,3125469601@uscc.net,SO-270G,SO-270
3763,2009-08-11,,3123889235@uscc.net,SO-270G,SO-270
3765,2009-08-11,,3125469468@uscc.net,SO-270G,SO-270
3766,2009-08-11,,3125469357@uscc.net,SO-270G,SO-270
3782,2009-08-13,,3125469747@uscc.net,SO-3478,SO-280	
3783,2009-08-13,,3125461963@uscc.net,SO-3478,SO-280	
3788,2009-08-13,,3128542730@uscc.net,SO-282C,SO-282	
3816,2009-08-16,,3125469755@uscc.net,SO-286A,SO-286
3817,2009-08-16,,3125469538@uscc.net,SO-286A,SO-286
3820,2009-08-17,,3125469383@uscc.net,SO-288A,SO-288
3822,2009-08-18,,3125469388@uscc.net,SO-289F,SO-289
3828,2009-08-18,,3125469398@uscc.net,SO-289F,SO-289
3839,2009-08-18,,3125469475@uscc.net,SO-292A,SO-292
3840,2009-08-18,,3125469581@uscc.net,SO-292A,SO-292
3841,2009-08-18,,3125469563@uscc.net,SO-292A,SO-292
3842,2009-08-18,,3125469295@uscc.net,SO-292A,SO-292
3843,2009-08-18,,3125469583@uscc.net,SO-292A,SO-292
4046,2009-08-27,,3125468316@uscc.net,SO-308D,SO-308
4048,2009-08-27,,3125468062@uscc.net,SO-308D,SO-308
4052,2009-08-27,,3125468275@uscc.net,SO-308D,SO-308
4054,2009-08-27,,3125467988@uscc.net,SO-308D,SO-308
4056,2009-08-27,,3125461927@uscc.net,SO-3478,SO-309
4059,2009-08-27,,3125467922@uscc.net,SO-1156B,SO-1156
4064,2009-08-27,,3125468315@uscc.net,SO-871D,SO-871
4078,2009-08-30,,3125468298@uscc.net,SO-872A,SO-314
4080,2009-08-30,,3125468324@uscc.net,SO-1792A,SO-1792
4098,2009-08-30,,3125468343@uscc.net,SO-316L,SO-316
4100,2009-08-30,,3125467959@uscc.net,SO-316L,SO-316
4105,2009-08-30,,3125468217@uscc.net,SO-316L,SO-316
4106,2009-08-30,,3123887649@uscc.net,SO-316L,SO-316
4108,2009-08-30,,3125468266@uscc.net,SO-316L,SO-316
4109,2009-08-30,,3125468046@uscc.net,SO-316L,SO-316
4110,2009-08-30,,3125468271@uscc.net,SO-316L,SO-316
4113,2009-08-30,,3125464558@uscc.net,SO-316L,SO-316
4115,2009-08-30,,3125468056@uscc.net,SO-316L,SO-316
4122,2009-08-30,,3125468305@uscc.net,SO-1717H,SO-1717
4123,2009-08-30,,3125468172@uscc.net,SO-1792A,SO-1792
4125,2009-08-30,,3125468180@uscc.net,SO-1717H,SO-1717
4130,2009-08-30,,3125468108@uscc.net,SO-1717H,SO-1717
4131,2009-08-30,,3125468387@uscc.net,SO-1717H,SO-1717
4134,2009-08-30,,3125467892@uscc.net,SO-1717H,SO-1717
4138,2009-08-30,,3125468054@uscc.net,SO-1717H,SO-1717
4143,2009-08-30,,3125468112@uscc.net,SO-1717H,SO-1717
4148,2009-08-30,,3125468028@uscc.net,SO-316L,SO-316
4150,2009-08-30,,3125468335@uscc.net,SO-316L,SO-316
4151,2009-08-30,,3125468049@uscc.net,SO-316L,SO-316
4163,2009-08-30,,3125468255@uscc.net,SO-316L,SO-316
4166,2009-08-30,,3125467912@uscc.net,SO-316L,SO-316
4167,2009-08-30,,3125467979@uscc.net,SO-316L,SO-316
4168,2009-08-30,,3125468257@uscc.net,SO-316L,SO-316
4176,2009-09-01,,3125467899@uscc.net,SO-317A,SO-317
4177,2009-09-01,,3124375112@uscc.net,SO-322A,SO-322
4178,2009-09-01,,3125468300@uscc.net,SO-3478,SO-318
4179,2009-09-01,,3125467888@uscc.net,SO-3134,SO-318
4182,2009-09-01,,3125467980@uscc.net,SO-320A,SO-320
4183,2009-09-01,,3122175758@uscc.net,SO-320A,SO-320
4184,2009-09-01,,3125468328@uscc.net,SO-320A,SO-320
4191,2009-09-01,,3125468345@uscc.net,SO-321N,SO-321
4192,2009-09-01,,3125467997@uscc.net,SO-321N,SO-321
4195,2009-09-01,,3125468118@uscc.net,SO-321N,SO-321
4196,2009-09-01,,3125467978@uscc.net,SO-321N,SO-321
4197,2009-09-01,,3125467908@uscc.net,SO-321N,SO-321
4202,2009-09-01,,3125468182@uscc.net,SO-321N,SO-321
4204,2009-09-01,,3125468173@uscc.net,SO-321N,SO-321
4206,2009-09-01,,3125468348@uscc.net,SO-321N,SO-321
4207,2009-09-01,,3125467965@uscc.net,SO-321N,SO-321
4213,2009-09-01,,3125468124@uscc.net,SO-321N,SO-321
4214,2009-09-01,,3125468109@uscc.net,SO-321N,SO-321
4218,2009-09-01,,3125468191@uscc.net,SO-321N,SO-321
4219,2009-09-01,,3125468047@uscc.net,SO-321N,SO-321
4220,2009-09-01,,3125468101@uscc.net,SO-321N,SO-321
4221,2009-09-01,,3125468258@uscc.net,SO-321N,SO-321
4231,2009-09-01,,3125467986@uscc.net,SO-321N,SO-321
4232,2009-09-01,,3125468169@uscc.net,SO-234M,SO-234
4236,2009-09-01,,3123889768@uscc.net,SO-321N,SO-321
4237,2009-09-01,,3125468239@uscc.net,SO-321N,SO-321
4247,2009-09-01,,3125468206@uscc.net,SO-321N,SO-321
4248,2009-09-01,,3125468186@uscc.net,SO-321N,SO-321
4250,2009-09-01,,3125468218@uscc.net,SO-321N,SO-321
4251,2009-09-01,,3125467927@uscc.net,SO-321N,SO-321
4265,2009-09-01,,3125468299@uscc.net,SO-321N,SO-321
4269,2009-09-01,,3125467964@uscc.net,SO-321N,SO-321
4281,2009-09-01,,3124371175@uscc.net,SO-321N,SO-321
4284,2009-09-01,,3125468375@uscc.net,SO-321N,SO-321
4290,2009-09-01,,3125468029@uscc.net,SO-321N,SO-321
4299,2009-09-01,,3125468291@uscc.net,SO-321N,SO-321
4306,2009-09-01,,3125468309@uscc.net,SO-321N,SO-321
4307,2009-09-01,,3125468312@uscc.net,SO-321N,SO-321
4308,2009-09-01,,3125467918@uscc.net,SO-321N,SO-321
4309,2009-09-01,,3125468102@uscc.net,SO-321N,SO-321
4310,2009-09-01,,3125468382@uscc.net,SO-321N,SO-321
4311,2009-09-01,,3125468336@uscc.net,SO-321N,SO-321
4312,2009-09-01,,3125468192@uscc.net,SO-321N,SO-321
4316,2009-09-01,,3125468386@uscc.net,SO-321N,SO-321
4319,2009-09-01,,3125468306@uscc.net,SO-321N,SO-321
4320,2009-09-01,,3124370678@uscc.net,SO-321N,SO-321
4323,2009-09-01,,3125468227@uscc.net,SO-321N,SO-321
4325,2009-09-01,,3125468292@uscc.net,SO-321N,SO-321
4326,2009-09-01,,3125468053@uscc.net,SO-321N,SO-321
4330,2009-09-01,,3125468368@uscc.net,SO-321N,SO-321
4334,2009-09-01,,3125468344@uscc.net,SO-321N,SO-321
4336,2009-09-01,,3125469829@uscc.net,SO-316L,SO-00316
4338,2009-09-02,,3125467974@uscc.net,SO-2814,SO-324
4340,2009-09-02,,3125468244@uscc.net,SO-1790A,SO-1790
4341,2009-09-02,,3125468236@uscc.net,SO-1790A,SO-1790
4349,2009-09-07,,3125467904@uscc.net,SO-328A,SO-328
4350,2009-09-07,,3125467946@uscc.net,SO-328A,SO-328
4351,2009-09-07,,3125468094@uscc.net,SO-328A,SO-328
4352,2009-09-07,,3125468120@uscc.net,SO-328A,SO-328
4353,2009-09-07,,3125468251@uscc.net,SO-328A,SO-328
4354,2009-09-07,,3125468115@uscc.net,SO-328A,SO-328
4355,2009-09-07,,3125468349@uscc.net,SO-328A,SO-328
4356,2009-09-07,,3125467893@uscc.net,SO-328A,SO-328
4357,2009-09-07,,3125468155@uscc.net,SO-328A,SO-328
4358,2009-09-07,,3125468000@uscc.net,SO-328A,SO-328
4370,2009-09-07,,3123886667@uscc.net,SO-334A,SO-00334. Purchased of plan only. Equipment purchased directly from JBM.
4371,2009-09-07,,3123886710@uscc.net,SO-334A,SO-00334. Purchased of plan only. Equipment purchased directly from JBM.
4372,2009-09-07,,3123886714@uscc.net,SO-334A,SO-00334. Purchased of plan only. Equipment purchased directly from JBM.
4373,2009-09-07,,3123886727@uscc.net,SO-334A,SO-00334. Purchased of plan only. Equipment purchased directly from JBM.
4374,2009-09-07,,3123886785@uscc.net,SO-334A,SO-00334. Purchased of plan only. Equipment purchased directly from JBM.
4375,2009-09-07,,3123886809@uscc.net,SO-334A,SO-00334. Purchased of plan only. Equipment purchased directly from JBM.
4376,2009-09-07,,3123886815@uscc.net,SO-334A,SO-00334. Purchased of plan only. Equipment purchased directly from JBM.
4377,2009-09-07,,3123886820@uscc.net,SO-334A,SO-00334. Purchased of plan only. Equipment purchased directly from JBM.
4378,2009-09-07,,3123886825@uscc.net,SO-334A,SO-00334. Purchased of plan only. Equipment purchased directly from JBM.
4379,2009-09-07,,3123886833@uscc.net,SO-334A,SO-00334. Purchased of plan only. Equipment purchased directly from JBM.
4380,2009-09-08,,3123886508@uscc.net,SO-335F,SO-335
4396,2009-09-13,,3125468370@uscc.net,SO-3478,SO-341
4397,2009-09-13,,3125468164@uscc.net,SO-1532A,SO-341
4399,2009-09-13,,3125468339@uscc.net,SO-2152,SO-341
4400,2009-09-13,,3125468371@uscc.net,SO-342A,SO-342
4401,2009-09-13,,3125467999@uscc.net,SO-342A,SO-342
4402,2009-09-13,,3125468214@uscc.net,SO-342A,SO-342
4403,2009-09-13,,3125468195@uscc.net,SO-342A,SO-342
4404,2009-09-13,,3125468106@uscc.net,SO-342A,SO-342
4405,2009-09-13,,3125468194@uscc.net,SO-342A,SO-342
4406,2009-09-13,,3125468290@uscc.net,SO-342A,SO-342
4407,2009-09-13,,3125468025@uscc.net,SO-342A,SO-342
4408,2009-09-13,,3125468204@uscc.net,SO-342A,SO-342
4409,2009-09-13,,3125468276@uscc.net,SO-342A,SO-342
4520,2009-09-14,,3125468327@uscc.net,SO-1803O,SO-344
4523,2009-09-14,,3125467987@uscc.net,SO-1803O,SO-344
4527,2009-09-14,,3125467935@uscc.net,SO-1803O,SO-344
4528,2009-09-14,,3125468142@uscc.net,SO-1803O,SO-344
4529,2009-09-14,,3125468032@uscc.net,SO-1803O,SO-344
4530,2009-09-14,,3125468030@uscc.net,SO-1803O,SO-344
4534,2009-09-14,,3125468362@uscc.net,SO-780B,SO-344
4535,2009-09-14,,3125468284@uscc.net,SO-1803O,SO-344
4537,2009-09-14,,3125468063@uscc.net,SO-1438G,SO-344
4541,2009-09-14,,3125468088@uscc.net,SO-1803O,SO-344
4549,2009-09-14,,9172721581@tsp17.sprintpcs.com,SO-1803O,SO-344
4553,2009-09-14,,3125468207@uscc.net,SO-1803O,SO-344
4557,2009-09-14,,3125468073@uscc.net,SO-1803O,SO-344
4560,2009-09-14,,3125467910@uscc.net,SO-1803O,SO-344
4566,2009-09-14,,3125468261@uscc.net,SO-1803O,SO-344
4567,2009-09-14,,3125468087@uscc.net,SO-1803O,SO-344
